id,relevance
1,2.0850217047351394
4,2.1132597577281755
5,2.2838962289541582
6,2.47052407787685
7,2.3471405141381734
8,2.208354717653901
10,2.6763663370681714
11,2.6840423356993313
12,2.163134207323123
13,2.693989416614369
14,2.458538156745788
15,2.3910774879708083
19,2.3577958317488217
22,2.693989416614369
24,2.2457156346733145
25,2.2962664438957403
26,2.0214869499637245
28,2.524757218153932
29,2.197378401883713
30,2.2529611513736714
31,2.693989416614369
32,2.507205915595479
33,2.1866789759336
36,2.318883668260205
39,2.2503437968668036
40,2.693989416614369
41,1.9454008275732941
42,2.3577958317488217
43,2.454374717945701
44,2.299829947671119
45,2.4100333465815496
46,2.3541285794497155
47,2.2888286727837928
49,2.606596725498709
50,2.522773110018943
52,2.0899610516373874
53,2.1866858696187306
54,2.09086741648367
55,2.381462754041885
56,2.3577958317488217
57,2.2521022933300356
58,2.4757088171213892
59,2.4655192466443596
60,2.030760742534788
61,2.507205915595479
62,2.3548797285909258
63,2.3224471720355835
64,2.524757218153932
66,2.612016464392791
67,2.2962664438957403
68,2.09086741648367
70,2.1842675288915236
71,2.3577958317488217
72,1.977307186792638
73,2.044831389296224
74,2.0687020334159802
76,2.140711834329228
77,2.0789668089537647
78,2.09086741648367
79,1.977307186792638
80,2.0789668089537647
82,2.3548007689729595
83,2.3548007689729595
84,2.09756310065623
86,2.188919325411841
87,2.507205915595479
89,2.1132597577281755
91,2.0214869499637245
93,2.030760742534788
94,2.0214869499637245
95,2.0453235010834674
96,1.977307186792638
97,2.0899610516373874
98,2.2523865006265016
99,1.977307186792638
100,2.693989416614369
102,2.3548007689729595
103,2.0687020334159802
104,2.0687020334159802
107,2.034752128336224
108,2.0214869499637245
109,2.2870354270486777
110,2.1866858696187306
111,2.1866858696187306
112,2.2529611513736714
115,2.0847103166515115
116,2.2962664438957403
118,2.507205915595479
119,2.3963225269180524
121,2.299829947671119
124,2.693989416614369
126,2.3577958317488217
128,2.1816042010692547
129,2.368546312541448
130,2.3577958317488217
131,2.279866217697809
132,2.2924196189616
133,2.693989416614369
134,2.1866858696187306
135,2.1782479086755346
137,2.293201794072249
139,2.3646287966188004
140,2.0214869499637245
141,2.1842675288915236
142,2.161361135763315
144,2.507205915595479
145,2.693989416614369
146,2.0847103166515115
148,1.9454008275732941
151,2.3577958317488217
152,2.166366200850154
153,2.2219771199874687
154,2.1006687325997824
155,2.0687020334159802
156,2.0831674721010227
159,2.140711834329228
160,2.19113760497619
161,2.2857597699599475
163,2.5714387931314233
167,2.5038035543550565
168,2.3577958317488217
169,2.0789668089537647
170,2.507205915595479
171,2.693989416614369
173,2.135179302386677
174,2.146433826348358
175,2.3003578513788323
176,2.1178652021815063
180,2.193451353689267
183,2.1866789759336
184,2.169828033628767
185,2.169828033628767
187,2.3963225269180524
188,1.9454008275732941
189,1.977307186792638
190,2.1717756119689655
192,2.2529611513736714
194,2.5038035543550565
196,2.146433826348358
197,2.078474697166521
198,2.507205915595479
199,2.507205915595479
200,2.693989416614369
204,2.728631851717464
206,2.507205915595479
207,2.3577958317488217
208,2.5315117435671817
209,2.328530490211384
211,2.693989416614369
212,2.26274516170134
213,2.507205915595479
216,2.390671075636211
217,2.3643472728884865
218,2.2838962289541582
219,2.2962664438957403
220,2.131873021124735
221,2.3129327449707433
222,2.2535711165187022
224,1.977307186792638
225,2.377926944832474
228,2.3548007689729595
229,2.279508025034662
230,2.5831177240057883
231,2.1272675766714046
232,2.1272675766714046
234,2.0789668089537647
235,2.3548797285909258
236,2.2962664438957403
237,2.2962664438957403
238,2.693989416614369
239,2.279508025034662
240,2.2503437968668036
242,2.6972909436846324
243,2.3577958317488217
244,2.3643472728884865
246,2.1842675288915236
247,2.09086741648367
248,2.200840234662326
249,2.3605204616598328
250,2.2070737560228344
251,2.4655192466443596
252,2.3577958317488217
253,2.1381949569694116
254,2.2853781109727804
256,2.507205915595479
258,2.0214869499637245
260,2.19113760497619
262,2.2714948641196218
263,2.279508025034662
264,2.0687020334159802
265,2.0453235010834674
267,2.606596725498709
268,2.238850388693388
269,2.1034088124047603
271,2.3847520887221503
273,2.5315117435671817
274,2.279508025034662
277,2.3548007689729595
278,2.1498519034751955
279,1.9454008275732941
